,Area,Device Name,Device,PLC Tag,PLC dep gauge1,PLC dep gauge2,PLC dep pump1,PLC dep valve1,Volume,sim dep vol1,sim dep vol2,Cable Assembly Drawings,PLC Block 1,PLC Block 2,Other Device,PLC Block 1,PLC Block 2,NOTES
1,EBD,RTDS-VGC-1,VV1S,VGC,RTDS-GCC-1,,,,,,,376-422-20-C0/376-422-21-C0,ES1004,ES2004,,,,
2,EBD,RTDS-GCC-1,CG1S,MKS422,,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
3,EBD,RTDS-GPI-1,PG1S,MKS317,RTDS-GCC-1,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
4,EBD,,not labeled,PIP_Gamma,,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
5,EBD,,not labeled,PIP_Gamma,,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
6,EBD,,not labeled,PIP_Gamma,,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
7,EBD,,not labeled,PIP_Gamma,,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
8,EBD,,not labeled,PIP_Gamma,,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
9,EBD (GMD),EM1K0-GMD-VGC-1,VGC-01,VGC,,,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,Should this be considered in or out of the GMD
10,EBD (GMD),EM1K0-GMD-GPI-10,GPI-10,MKS317,RTDS-GCC-1,EM1K0-GMD-GCC-10,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
11,EBD (GMD),EM1K0-GMD-PTM-10,PTM-10,PTM_Agilent,EM1K0-GMD-GCC-10,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
12,EBD (GMD),EM1K0-GMD-VGC-10,VGC-10,VGC,EM1K0-GMD-GCC-10,EM1K0-GMD-GCC-20,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
13,EBD (GMD),EM1K0-GMD-GCC-10,GCC-10,MKS422,EM1K0-GMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
14,EBD (GMD),EM1K0-GMD-PTM-20,PTM-20,PTM_Agilent,EM1K0-GMD-GCC-20,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
15,EBD (GMD),EM1K0-GMD-VGC-20,VGC-20,VGC,EM1K0-GMD-GCC-20,EM1K0-GMD-GCC-30,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
16,EBD (GMD),EM1K0-GMD-GCC-20,GCC-20,MKS422,EM1K0-GMD-GPI-10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
17,EBD (GMD),EM1K0-GMD-PTM-30,PTM-30,PTM_Agilent,EM1K0-GMD-GCC-30,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
18,EBD (GMD),EM1K0-GMD-VGC-30,VGC-30,VGC,EM1K0-GMD-GCC-30,,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
19,EBD (GMD),EM1K0-GMD-GCC-30,GCC-30,MKS422,EM1K0-GMD-GPI-10,EM1K0-GMD-GCC-40,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
20,EBD (GMD),EM1K0-GMD-PRT-40,PR-40,,,,,,,,,,,,,,,Noticed this Device in Naming Doc for First time
21,EBD (GMD),EM1K0-GMD-PTM-40,PTM-40,PTM_Agilent,,,,,,,,,,,,,,Noticed this Device in Naming Doc for First time
22,EBD (GMD),EM1K0-GMD-VCN-40,VCN-40,VCN,,,,,,,,,,,,,,Noticed this Device in Naming Doc for First time
23,EBD (GMD),EM1K0-GMD-VGC-40,VGC-40,VGC,,,,,,,,,,,,,,Noticed this Device in Naming Doc for First time
24,EBD (GMD),EM1K0-GMD-VGP-40,VGP-40,VGC,EM1K0-GMD-GCC-30,EM1K0-GMD-GCC-40,,,,,,376-422-22-C0,ES1004,ES2004,,,,
25,EBD (GMD),EM1K0-GMD-GCC-40,GCC-40,MKS422,EM1K0-GMD-GPI-40,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
26,EBD (GMD),EM1K0-GMD-GPI-40,GPI-40,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
27,EBD (GMD),EM1K0-GMD-PTM-50,PTM-50,PTM_Agilent,EM1K0-GMD-GCC-50,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
28,EBD (GMD),EM1K0-GMD-VGC-50,VGC-50,VGC,EM1K0-GMD-GCC-50,EM1K0-GMD-GCC-60,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
29,EBD (GMD),EM1K0-GMD-GCC-50,GCC-50,MKS422,EM1K0-GMD-GPI-70,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
30,EBD (GMD),EM1K0-GMD-PTM-60,PTM-60,PTM_Agilent,EM1K0-GMD-GCC-60,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
31,EBD (GMD),EM1K0-GMD-VGC-60,VGC-60,VGC,EM1K0-GMD-GCC-60,EM1K0-GMD-GCC-70,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
32,EBD (GMD),EM1K0-GMD-GCC-60,GCC-60,MKS422,EM1K0-GMD-GPI-70,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
33,EBD (GMD),EM1K0-GMD-PTM-70,PTM-70,PTM_Agilent,EM1K0-GMD-GCC-70,,,,,,,376-422-31-C0,ES2004,ES1088,,,,
34,EBD (GMD),EM1K0-GMD-VGC-70,VGC-70,VGC,EM1K0-GMD-GCC-70,IM2K0-XTES-GCC-1,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
35,EBD (GMD),EM1K0-GMD-GCC-70,GCC-70,MKS422,EM1K0-GMD-GPI-70,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
36,EBD (GMD),EM1K0-GMD-GPI-70,GPI-70,MKS317,,,,,,,,261-801-41-C0,ES1004,ES2004,,,,
37,EBD (GMD),N/A,VGC-02,,,,,,,,,,ES1004,ES2004,,,,
38,EBD,IM2K0-XTES-GCC-1,CG2S,MKS422,IM2K0-XTES-GPI-1,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
39,EBD,IM2K0-XTES-GPI-1,PG2S,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
40,EBD,PCPM3B-PIP-1,IP1S (100L),PIP_Gamma,IM2K0-XTES-GCC-1,,,,,,,376-422-33-C0,,,Gamma QPCe,EL2794,EL1004,
41,EBD,TV1K0-GAS-GCC-1,CG3S,MKS422,TV1K0-GAS-GPI-1,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
42,EBD,TV1K0-GAS-GPI-1,PG3S,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
43,EBD,TV1K0-GAS-VGC-1,VV3S,VGC,TV1K0-GAS-GCC-1,AT1K0_GAS_GCC_10,,,,,,,,,,,,I'm guessing these are the same device but should it be in or out of the GMD
44,EBD (GATT) diff,,VGC01,,,,,,,,,,ES1004,ES2004,,,,
45,EBD (GATT) diff,AT1K0_GAS_PTM_10,PTM-10 (diff pump 1),PTM_Ebara_010M,AT1K0_GAS_GCC_10,,,,,,,TBD,,,Ebara ETC 010M,,,
46,EBD (GATT) diff,AT1K0_GAS_VRC_10,VGC-10 (diff pump 1),VRC,AT1K0_GAS_GCC_10,,,,,,,TBD,ES1004,ES2004,,,,
47,EBD (GATT) diff,AT1K0_GAS_GPI_10,GPI-10 (diff pump 1),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
48,EBD (GATT) diff,AT1K0_GAS_GCC_10,GCC-10 (diff pump 1),MKS422,AT1K0_GAS_GPI_10,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
49,EBD (GATT) diff,AT1K0_GAS_PTM_20,PTM-20 (diff pump 2),PTM_Ebara_010M,AT1K0_GAS_GCC_20,,,,,,,TBD,,,Ebara ETC 010M,,,
50,EBD (GATT) diff,AT1K0_GAS_VRC_20,VGC-20 (diff pump 2),VRC,AT1K0_GAS_GCC_20,,,,,,,TBD,ES1004,ES2004,,,,
51,EBD (GATT) diff,AT1K0_GAS_GPI_20,GPI-20 (diff pump 2),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
52,EBD (GATT) diff,AT1K0_GAS_GCC_20,GCC-20 (diff pump 2),MKS422,AT1K0_GAS_GPI_20,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
53,EBD (GATT) diff,AT1K0_GAS_GPI_11,GPI-10,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,Unsure if the Device/Device ID from different Docs are matched correctly
54,EBD (GATT) diff,AT1K0_GAS_PFM_01,PR-10,EbaraDryPump,,,,,,,,TBD,,,,,,
55,EBD (GATT) diff,AT1K0_GAS_PTM_30,PTM-30 (diff pump 3),PTM_Ebara_010M,AT1K0_GAS_GCC_30,,,,,,,TBD,,,Ebara ETC 010M,,,
56,EBD (GATT) diff,AT1K0_GAS_VRC_30,VGC-30 (diff pump 3),VRC,AT1K0_GAS_GCC_30,,,,,,,TBD,ES1004,ES2004,,,,
57,EBD (GATT) diff,AT1K0_GAS_GPI_30,GPI-30 (diff pump 3),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
58,EBD (GATT) diff,AT1K0_GAS_GCC_30,GCC-30 (diff pump 3),MKS422,AT1K0_GAS_GPI_30,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
59,EBD (GATT) diff,AT1K0_GAS_PTM_40,PTM-40 (diff pump 4),PTM_Ebara_010M,AT1K0_GAS_GCC_40,,,,,,,TBD,,,Ebara ETC 010M,,,
60,EBD (GATT) diff,AT1K0_GAS_VRC_40,VGC-40 (diff pump 4),VRC,AT1K0_GAS_GCC_40,,,,,,,TBD,ES1004,ES2004,,,,
61,EBD (GATT) diff,AT1K0_GAS_GPI_40,GPI-40 (diff pump 4),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
62,EBD (GATT) diff,AT1K0_GAS_GCC_40,GCC-40 (diff pump 4),MKS422,AT1K0_GAS_GPI_40,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
63,EBD (GATT) MA,AT1K0_GAS_VRC_50,VGC-50,VRC,AT1K0_GAS_GCC_50,,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,ES1004,ES2004,,,,
64,EBD (GATT) MA,AT1K0_GAS_GPI_50,GPI-50 ,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
65,EBD (GATT) MA,AT1K0_GAS_GCC_50,GCC-50,MKS422,AT1K0_GAS_GPI_50,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
66,EBD (GATT) MA,AT1K0_GAS_VRC_60,VGC-60,VRC,AT1K0_GAS_GCC_60,,,,,,,261-804-05-C0/261-807-71-C0/261-807-72-C0,,,,,,
67,EBD (GATT) MA,AT1K0_GAS_GPI_60,GPI-60,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
68,EBD (GATT) MA,AT1K0_GAS_GCC_60,GCC-60,MKS422,AT1K0_GAS_GPI_60,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
69,EBD (GATT) MA,AT1K0_GAS_GPI_61,GPI-60(roughing pump port?),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,Unsure if the Device/Device ID from different Docs are matched correctly
70,EBD (GATT) MA,AT1K0_GAS_PFM_60,PR-60,EbaraDryPump,,,,,,,,,,,,,,
71,FEE(GATT) INJ,AT1K0_GAS_VVC_70,VGC-70,VCC,,,,,,,,376-422-14-C0,ES4004,,,,,"Unsure how devices match between
 SD-375-357-59 and the Interconnect Diagram"
72,FEE(GATT) INJ,AT1K0_GAS_PTM_80,PTM-80,PTM_Ebara_010M,,,,,,,,376-422-31-C0,ES1084,ES2004,,,,
73,FEE(GATT) INJ,AT1K0_GAS_VGP_80,VGP-80,VGC,AT1K0_GAS_GCC_60,AT1K0_GAS_GCC_80,,,,,,376-422-22-C0,ES7041,,,,,
74,FEE(GATT) INJ,AT1K0_GAS_GPI_80,GPI-80,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
75,FEE(GATT) INJ,AT1K0_GAS_GCC_80,GCC-80,MKS422,,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
76,FEE(GATT) MA,AT1K0_GAS_VRC_90,VGC-90,VRC,AT1K0_GAS_GCC_90,,,,,,,376-422-19,ES1004,ES2004,,,,
77,FEE(GATT) MA,AT1K0_GAS_GCC_90,GCC-90,MKS422,AT1K0_GAS_GPI_90,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
78,FEE(GATT) MA,AT1K0_GAS_GPI_90,GPI-90,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
79,FEE(GATT) MA,AT1K0_GAS_VRC_100,VGC-100,VRC,AT1K0_GAS_GCC_100,,,,,,,376-422-19/261-807-72-C0,ES1004,ES2004,,,,
80,FEE(GATT) MA,AT1K0_GAS_GCC_100,GCC-100,MKS422,AT1K0_GAS_GPI_100,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
81,FEE(GATT) MA,AT1K0_GAS_GPI_100,GPI-100,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
82,FEE(GATT) diff,FEES-GATT-GPI-111,GPI-110 (roughing pump port?),MKS275,,,,,,,,376-422-10,EL3174-0002,ES9184,ES9070,,,
83,FEE(GATT) diff,AT1K0_GAS_PTM_110,PTM-110 (diff pump 5),PTM_Ebara_010M,AT1K0_GAS_GCC_110,,,,,,,TBD,,,Ebara ETC 010M,,,
84,FEE(GATT) diff,AT1K0_GAS_VRC_110,VGC-110 (diff pump 5),VRC,AT1K0_GAS_GCC_110,,,,,,,376-422-19,ES1004,ES2004,,,,
85,FEE(GATT) diff,AT1K0_GAS_GPI_110,GPI-110 (diff pump 5),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
86,FEE(GATT) diff,AT1K0_GAS_GCC_110,GCC-110 (diff pump 5),MKS422,AT1K0_GAS_GPI_110,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
87,FEE(GATT) diff,AT1K0_GAS_GPI_121,GPI-120 (roughing pump port?),MKS275,,,,,,,,376-422-10,EL3174-0002,ES9184,ES9070,,,
88,FEE(GATT) diff,AT1K0_GAS_PTM_120,PTM-120 (diff pump 6),PTM_Ebara_010M,AT1K0_GAS_GCC_120,,,,,,,TBD,,,Ebara ETC 010M,,,
89,FEE(GATT) diff,AT1K0_GAS_VRC_120,VGC-120 (diff pump 6),VRC,AT1K0_GAS_GCC_120,,,,,,,376-422-19,ES1004,ES2004,,,,
90,FEE(GATT) diff,AT1K0_GAS_GPI_120,GPI-120 (diff pump 6),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
91,FEE(GATT) diff,AT1K0_GAS_GCC_120,GCC-120 (diff pump 6),MKS422,AT1K0_GAS_GPI_120,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
92,FEE(GATT) diff,AT1K0_GAS_PTM_130,PTM-130 (diff pump 7),PTM_Ebara_010M,AT1K0_GAS_GCC_130,,,,,,,TBD,,,Ebara ETC 010M,,,
93,FEE(GATT) diff,AT1K0_GAS_VRC_130,VGC-130 (diff pump 7),VRC,AT1K0_GAS_GCC_130,,,,,,,376-422-19,ES1004,ES2004,,,,
94,FEE(GATT) diff,AT1K0_GAS_GPI_130,GPI-130 (diff pump 7),MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
95,FEE(GATT) diff,AT1K0_GAS_GCC_130,GCC-130 (diff pump 7),MKS422,AT1K0_GAS_GPI_130,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
96,FEE(GATT) diff,AT1K0_GAS_GPI_121,GPI-130 (roughing pump port?),MKS275,,,,,,,,376-422-10,EL3174-0002,ES9184,ES9070,,,
97,FEE(GATT) diff,AT1K0_GAS_PTM_140,PTM-140,PTM_Ebara_010M,AT1K0_GAS_GCC_140,,,,,,,TBD,,,Ebara ETC 010M,,,
98,FEE(GATT) diff,AT1K0_GAS_VRC_140,VGC-140,VRC,AT1K0_GAS_GCC_140,,,,,,,376-422-19,ES1004,ES2004,,,,
99,FEE(GATT) diff,AT1K0_GAS_GPI_140,GPI-140,MKS317,,,,,,,,261-801-41-C0,,,937B,EL3064,EL2794,
100,FEE(GATT) diff,AT1K0_GAS_GCC_140,GCC-140,MKS422,AT1K0_GAS_GPI_140,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
101,FEE,EM1K0-XGMD-VGC-1,VV4S,VGC,AT1K0_GAS_GCC_140,EM1K0-XGMD-GCC-10,,,,,,261-804-05-C0/261-806-86-C0/261-806-86-C1,EP2238-0002,,,,,
102,FEE(XGMD),EM1K0-XGMD-GPI-10,GPI-10,MKS317,,,,,,,,261-806-55-C0,,,937B,EL3064,EL2794,
